Date,Close/Last,Volume,Open,High,Low
03/01/2024,$164.59,6109856,$164.86,$165.00,$163.25
02/29/2024,$165.34,8489449,$166.21,$166.68,$164.91
02/28/2024,$167.03,5275282,$168.12,$168.50,$166.45
02/27/2024,$168.16,3567644,$167.82,$168.22,$167.35
02/26/2024,$168.26,3836980,$169.42,$169.42,$167.71
02/23/2024,$169.60,6409765,$167.94,$170.25,$167.80
02/22/2024,$168.25,7539232,$167.64,$168.8298,$166.10
02/21/2024,$168.83,4195366,$169.95,$170.18,$167.855
02/20/2024,$168.65,6117866,$167.74,$169.52,$167.185
02/16/2024,$166.32,5245994,$167.21,$167.41,$165.68
02/15/2024,$167.86,4451374,$167.95,$168.365,$166.68
02/14/2024,$167.52,5731904,$168.34,$168.64,$166.06
02/13/2024,$168.88,7302014,$171.22,$171.45,$167.24
02/12/2024,$170.61,7867544,$167.86,$171.0694,$167.20
02/09/2024,$167.67,12731740,$171.20,$171.39,$166.97
02/08/2024,$173.85,9269699,$171.72,$174.10,$171.41
02/07/2024,$171.47,5769679,$172.63,$172.90,$171.38
02/06/2024,$171.42,5182879,$171.45,$171.8252,$169.94
02/05/2024,$170.92,5142706,$170.55,$171.58,$169.045
02/02/2024,$170.97,5307883,$171.235,$171.96,$170.10
02/01/2024,$171.70,4920789,$168.53,$171.80,$167.17
01/31/2024,$168.53,5769214,$169.96,$170.3838,$167.88
01/30/2024,$169.62,4804243,$167.67,$169.70,$167.32
01/29/2024,$168.15,5713559,$167.53,$168.70,$167.3926
