Date,Close/Last,Volume,Open,High,Low
11/25/2024,$87.77,12998270,$87.99,$88.74,$86.97
11/22/2024,$86.77,6785992,$84.68,$86.80,$84.57
11/21/2024,$84.82,7250051,$85.16,$85.49,$84.21
11/20/2024,$84.74,6076348,$84.51,$85.60,$84.24
11/19/2024,$84.09,12442730,$82.99,$84.235,$82.50
11/18/2024,$84.67,10152570,$86.055,$86.84,$84.575
11/15/2024,$85.83,8083167,$85.35,$86.20,$85.1014
11/14/2024,$85.79,8468252,$87.06,$87.4725,$85.475
11/13/2024,$87.31,9256571,$86.80,$87.90,$86.08
11/12/2024,$86.40,10036910,$86.88,$87.92,$85.6746
11/11/2024,$86.94,15459380,$84.07,$87.47,$83.38
11/08/2024,$83.01,8144180,$81.46,$83.07,$81.35
11/07/2024,$81.35,7994293,$81.695,$82.74,$81.13
11/06/2024,$81.41,11546540,$81.345,$81.69,$79.995
11/05/2024,$79.25,6573919,$77.738,$79.41,$77.738
11/04/2024,$78.13,10257040,$77.26,$78.44,$77.00
11/01/2024,$77.25,16473610,$77.865,$78.3089,$76.46
10/31/2024,$79.30,13919260,$78.49,$79.82,$78.30
10/30/2024,$78.22,14910500,$79.03,$79.71,$77.99
10/29/2024,$80.28,35206390,$78.04,$81.25,$76.81
10/28/2024,$83.59,15243510,$82.03,$83.70,$81.88
10/25/2024,$81.70,7201013,$82.01,$82.80,$81.40
10/24/2024,$81.39,7398779,$81.235,$82.48,$80.92
10/23/2024,$80.83,7632139,$81.24,$82.24,$80.09
10/22/2024,$80.91,7571253,$80.05,$81.42,$80.04
10/21/2024,$80.56,7450264,$80.315,$81.36,$80.04
10/18/2024,$80.94,8844338,$79.50,$80.97,$78.94
10/17/2024,$79.82,8653971,$80.75,$80.90,$79.225
10/16/2024,$80.82,5434792,$79.81,$80.85,$79.45
10/15/2024,$79.55,7291606,$80.15,$81.06,$78.65
10/14/2024,$80.67,5865449,$80.34,$80.98,$79.82
10/11/2024,$80.51,7744777,$79.54,$80.7263,$79.16
10/10/2024,$78.98,11326110,$79.94,$80.075,$78.53
10/09/2024,$81.65,6925969,$80.88,$82.00,$80.85
10/08/2024,$81.16,8618496,$79.99,$81.3999,$79.575
10/07/2024,$80.26,9206569,$79.29,$80.49,$78.615
10/04/2024,$79.36,10083590,$78.16,$79.53,$77.985
10/03/2024,$77.31,9121261,$76.53,$77.40,$76.04
10/02/2024,$77.44,8073322,$77.47,$77.77,$76.18
10/01/2024,$77.47,10608720,$78.21,$79.01,$76.39
09/30/2024,$78.03,6853835,$77.87,$78.5952,$77.24
09/27/2024,$77.88,11575280,$80.40,$80.6299,$77.73
09/26/2024,$80.08,13316660,$78.945,$80.43,$78.47
09/25/2024,$77.36,13822400,$78.23,$79.26,$77.34
09/24/2024,$78.34,14724840,$77.88,$78.83,$77.67
09/23/2024,$77.67,12839810,$77.53,$78.80,$77.35
09/20/2024,$76.76,27274650,$77.31,$77.57,$75.462
09/19/2024,$77.57,21662380,$75.00,$78.245,$74.81
09/18/2024,$73.12,13498160,$71.45,$73.87,$71.36
09/17/2024,$71.77,6187212,$71.93,$72.17,$71.12
09/16/2024,$71.07,6494997,$70.46,$71.24,$70.0699
09/13/2024,$70.10,7572594,$70.04,$70.6202,$69.8601
09/12/2024,$70.36,8376713,$69.14,$70.38,$69.04
09/11/2024,$69.35,12344870,$69.16,$69.70,$67.76
09/10/2024,$68.85,12317450,$69.34,$69.74,$67.15
09/09/2024,$69.35,11869340,$70.392,$70.65,$68.25
09/06/2024,$68.89,12315820,$71.94,$72.05,$68.55
09/05/2024,$72.03,11473840,$73.66,$74.40,$71.015
09/04/2024,$72.61,8368990,$71.605,$73.24,$71.59
09/03/2024,$72.00,8571345,$71.755,$72.9484,$71.40
08/30/2024,$72.43,9634963,$73.51,$73.69,$71.76
08/29/2024,$73.16,13181590,$71.40,$73.93,$71.25
08/28/2024,$70.43,9277660,$71.27,$71.5899,$70.025
08/27/2024,$71.59,9396932,$71.75,$72.35,$71.30
08/26/2024,$72.04,9062957,$72.07,$73.03,$71.67
08/23/2024,$71.70,8222231,$72.00,$72.0699,$70.84
08/22/2024,$71.52,11811120,$71.74,$73.25,$70.92
08/21/2024,$71.46,10455490,$72.065,$72.77,$70.87
08/20/2024,$71.89,23545970,$70.00,$72.56,$69.43
08/19/2024,$69.43,9578068,$68.22,$69.46,$68.17
08/16/2024,$67.96,9526778,$67.37,$68.55,$67.37
08/15/2024,$67.94,12968280,$67.16,$68.12,$67.05
08/14/2024,$66.14,8944776,$65.06,$66.39,$64.66
08/13/2024,$65.11,8638603,$64.00,$65.64,$63.72
08/12/2024,$63.46,7519467,$64.95,$65.13,$63.285
08/09/2024,$64.72,8605324,$64.80,$65.50,$64.47
08/08/2024,$64.28,9761208,$63.55,$64.675,$63.10
08/07/2024,$62.74,13464350,$63.345,$65.01,$62.64
08/06/2024,$62.75,14358870,$60.60,$63.58,$60.30
08/05/2024,$60.46,17445400,$60.70,$61.055,$58.65
08/02/2024,$61.98,23117060,$64.00,$64.04,$60.89
08/01/2024,$65.31,19086360,$65.78,$67.30,$65.02
07/31/2024,$65.78,25825920,$65.00,$66.99,$64.17
07/30/2024,$64.00,44232790,$62.775,$65.06,$62.43
07/29/2024,$58.94,12346840,$58.50,$59.10,$58.07
07/26/2024,$58.29,11323430,$57.60,$58.31,$56.97
07/25/2024,$57.22,12515750,$58.16,$58.65,$57.20
07/24/2024,$58.07,11801730,$59.55,$59.66,$57.98
